施設名称,所在地,備考,緯度,経度
水神児童センター,東京都品川区南大井5-13-19,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。区内には25の児童センターがあり、地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区南大井5-13-19電話:3768-2027",35.5954770,139.7339834
南大井児童センター,東京都品川区南大井3-7-13(シルバーセンター・図書館),"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています品川区南大井3-7-13電話:3761-4148併設南大井図書館南大井保育園南大井シルバーセンター",35.5915774,139.7343157
東大井児童センター,東京都品川区東大井1-22-16,"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。区内には25の児童センターがあり、地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区東大井1-22-16電話:3471-1070併設東大井保育園",35.6032688,139.7415195
八潮児童センター,東京都品川区八潮5-10-27(八潮地域センター),"児童センターは、児童の健全育成を目的にした施設で、どなたでも自由に利用できます。地域のこどもたちにあそびの楽しさを伝えるよう、さまざまな事業を実施しています。品川区八潮5-10-27電話:3799-3000併設八潮地域センター八潮図書館",35.5999497,139.7515122
一本橋保育園,東京都品川区大井2-25-1,"品川区大井2-25-1 電話:3775-4351最寄り駅JR京浜東北線・東急線・りんかい線 大井町駅",35.6046197,139.7296648
伊藤保育園,東京都品川区西大井6-13-1,"品川区西大井6-13-1 電話:3771-2211併設:伊藤児童センター最寄り駅:荏原循環バス 荏原営業所バス停",35.6007298,139.7175919
荏原保育園,東京都品川区荏原2-16-18,"品川区荏原2-16-18電話:3781-5331最寄り駅:東急池上線 戸越銀座駅",35.6166852,139.7088707
荏原西保育園,東京都品川区荏原4-16-11,"品川区荏原4-16-11 電話:3783-6361併設:荏原西区民集会所最寄り駅:東急目黒線 武蔵小山駅",35.6139290,139.7061718
大井保育園,東京都品川区東大井6-14-16,"品川区東大井6-14-16電話:3761-8798最寄り駅:京浜急行線 立会川駅",35.6009420,139.7352558
大井倉田保育園,東京都品川区大井4-11-8,"品川区大井4-11-8電話:3776-8539最寄り駅:JR京浜東北線・東急線・りんかい線 大井町駅",35.6023122,139.7341259
大崎保育園,東京都品川区大崎5-2-1,"品川区大崎5-2-1電話:3492-6265最寄り駅:JR山手線・りんかい線 大崎駅",35.6219418,139.7263867
北品川保育園,東京都品川区北品川2-7-21,"品川区北品川2-7-21 電話:3471-4907併設:北品川児童センター最寄り駅:京浜急行線 新馬場駅",35.6187098,139.7439522
源氏前保育園,東京都品川区中延4-14-19,"品川区中延4-14-19 電話:3783-8744併設:源氏前図書館最寄り駅:東急大井町線 荏原町駅",35.6055339,139.7099883
五反田保育園,東京都品川区東五反田2-15-6,"品川区東五反田2-15-6電話:3445-4534併設:五反田ふれあいディホーム五反田シルバーセンター最寄り駅:JR山手線・りんかい線 大崎駅",35.6218429,139.7295393
小山台保育園,東京都品川区小山台1-3-8,"品川区小山台1-3-8電話:3710-4415最寄り駅:東急目黒線 不動前駅",35.6250581,139.7068113
品川保育園,東京都品川区東大井5-8-12,"品川区東大井5-8-12電話:3471-0506最寄り駅:JR京浜東北線・東急線・りんかい線 大井町駅",35.6075152,139.7378292
清水台保育園,東京都品川区荏原7-8-3,"品川区荏原7-8-3電話:3784-0519最寄り駅:東急目黒線 西小山駅",35.6118272,139.7013761
水神保育園,東京都品川区南大井6-2-15,"品川区南大井6-2-15電話:3761-0321最寄り駅:JR京浜東北線 大森駅",35.5928361,139.7329006
滝王子保育園,東京都品川区大井5-18-1,"品川区大井5-18-1電話:3775-4861最寄り駅:荏原循環バス 大井5丁目バス停",35.5981093,139.7277129
中原保育園,東京都品川区小山1-4-1,"品川区小山1-4-1電話:3492-5188併設:中原児童センター最寄り駅:東急目黒線 不動前駅",35.6221109,139.7126127
中延保育園,東京都品川区西中延1-6-16,"品川区西中延1-6-16 電話:3784-3405併設:中延児童センター最寄り駅:東急池上線 荏原中延駅",35.6125102,139.7084349
西大井保育園,東京都品川区西大井1-1-1,"品川区西大井1-1-1電話:3774-5315最寄り駅:JR横須賀線 西大井駅",35.6010194,139.7216362
西五反田保育園,東京都品川区西五反田3-9-10,"品川区西五反田3-9-10電話:3493-0075併設:西五反田シルバーセンター最寄り駅:東急バス 大崎郵便局バス停",35.6265224,139.7168722
西品川保育園,東京都品川区西品川3-16-35,"品川区西品川3-16-35 電話:3493-1333併設:西品川学童保育クラブ最寄り駅:JR山手線・りんかい線 大崎駅",35.6150221,139.7261814
西中延保育園,東京都品川区西中延3-8-5,"品川区西中延3-8-5電話:3783-1856併設:西中延児童センター最寄り駅:東急大井町線 荏原町駅",35.6073080,139.7081172
旗の台保育園,東京都品川区旗の台5-19-5,"品川区旗の台5-19-5 電話:3784-1903併設:旗の台児童センター旗の台文化センター最寄り駅:東急大井町線 旗の台駅",35.6037688,139.7003820
東大井保育園,東京都品川区東大井1-22-16,"品川区東大井1-22-16電話:3471-1190 併設:東大井児童センター最寄り駅:京浜急行線 鮫洲駅",35.6032911,139.7414100
東五反田保育園,東京都品川区東五反田5-24-1,"品川区東五反田5-24-1電話:3447-0663 併設:東五反田児童センター最寄り駅:JR山手線 五反田駅",35.6279857,139.7233588
東品川保育園,東京都品川区東品川1-34-9,"品川区東品川1-34-9 電話:3472-5805併設:東品川児童センター最寄り駅:京浜急行線 新馬場駅",35.6191527,139.7460771
東中延保育園,東京都品川区東中延2-5-10,"品川区東中延2-5-10 電話:3785-0418併設:東中延児童センター最寄り駅:東急大井町線 中延駅",35.6078339,139.7138475
平塚保育園,東京都品川区平塚2-2-3,"品川区平塚2-2-3 電話:3785-6770併設:平塚児童センター最寄り駅:東急池上線 戸越銀座駅",35.6188039,139.7174542
冨士見台保育園,東京都品川区西大井6-1-15,"品川区西大井6-1-15電話:3785-7833最寄り駅:東急大井町線 中延駅",35.6013287,139.7142443
二葉保育園,東京都品川区二葉1-4-25,"品川区二葉1-4-25 電話:3782-6786併設:二葉図書館最寄り駅:東急大井町線 下神明駅",35.6080266,139.7267273
二葉つぼみ保育園,東京都品川区二葉1-3-24二葉幼稚園,"品川区二葉1-3-40電話:3785-3423併設:二葉幼稚園(あわせて二葉すこやか園)最寄り駅:東急大井町線 下神明駅",35.6062910,139.7255458
南大井保育園,東京都品川区南大井3-7-4,"品川区南大井3-7-4 電話:3761-6543併設:南大井図書館南大井児童センター南大井シルバーセンター最寄り駅:京浜急行線 大森海岸駅",35.5918014,139.7344216
三ツ木保育園,東京都品川区西品川1-9-18,"品川区西品川1-9-18電話:3491-8593最寄り駅:JR山手線・りんかい線 大崎駅",35.6131303,139.7297103
南ゆたか保育園,東京都品川区豊町4-17-21,"品川区豊町4-17-21 電話:3781-3601併設:南ゆたか児童センター最寄り駅:東急大井町線 戸越公園駅",35.6065364,139.7209266
八潮北保育園,東京都品川区八潮5-1-3,"品川区八潮5-1-3 電話:3799-0531併設:都営住宅最寄り駅:都営バス 福祉センター前バス停",35.6046933,139.7531379
八潮西保育園,東京都品川区八潮5-4-16,"品川区八潮5-4-16電話:3799-0777最寄り駅:都営バス 八潮北バス停",35.6016830,139.7512726
八潮南保育園,東京都品川区八潮5-8-41,"品川区八潮5-8-41電話:3799-2424最寄り駅:都営バス 八潮南小前バス停",35.5966055,139.7520556
八ッ山保育園,東京都品川区東品川1-2-15,"品川区東品川1-2-15 電話:3472-4661併設:八ッ山ふれあいディホーム最寄り駅:京浜急行線 北品川駅",35.6229761,139.7435605
ゆたか保育園,東京都品川区豊町1-18-15,"品川区豊町1-18-15電話:3786-0738最寄り駅:東急大井町線 戸越公園駅",35.6115361,139.7227398
ぷりすくーる西五反田,東京都品川区西五反田3-9-9,"西五反田3-9-9電話:5759-8081最寄り駅:東急バス 大崎郵便局バス停",35.6265987,139.7167903
石井保育園,東京都品川区小山2-6-15,"品川区小山2-6-15電話:3781-3666最寄り:東急目黒線 武蔵小山駅",35.6210321,139.7072869
宝保育園,東京都品川区西五反田4-12-13,"品川区西五反田4-11-18電話:3492-3872最寄り:東急目黒線 不動前駅",35.6263924,139.7105959
戸越ひまわり保育園,東京都品川区戸越6-16-14,"品川区戸越6-16-14電話:3787-5856最寄り:東急大井町線 戸越公園駅",35.6073632,139.7153850
どんぐり保育園（本園）,東京都品川区南品川2-9-13,"品川区南品川2-9-13電話:3471-1673最寄り:京浜急行線 新馬場駅",35.6141735,139.7428160
日本音楽学校保育園,東京都品川区豊町2-16-12,"品川区豊町2-16-12電話:5702-0034最寄り:東急大井町線 戸越公園駅",35.6097062,139.7253813
東戸越保育園,東京都品川区戸越4-1-10,"品川区戸越4-1-10電話:3781-5363最寄り:東急大井町線 戸越公園駅",35.6122976,139.7178016
緑の家保育園,東京都品川区大井7-4-18,"品川区大井7-4-18 電話:3776-4073最寄り:池上行バス 鹿島神社バス停",35.5962897,139.7293325
八潮中央保育園,東京都品川区八潮5-10-60101,"品川区八潮5-10-60-101電話:3799-1152最寄り:都営バス 八潮パークタウンバス停",35.5995262,139.7511887
品川小学校,東京都品川区北品川3-9-30,品川区北品川3-9-30,35.6177464,139.7378337
城南小学校,東京都品川区南品川2-8-21,"品川区南品川2-8-21 併設城南幼稚園",35.6131737,139.7427322
浅間台小学校,東京都品川区南品川6-8-8,品川区南品川6-8-8,35.6114809,139.7365320
三木小学校,東京都品川区西品川3-16-28,品川区西品川3-16-28,35.6152914,139.7268158
城南第二小学校,東京都品川区東品川3-4-5,品川区東品川3-4-5,35.6156597,139.7461815
芳水小学校,東京都品川区大崎3-12-22,品川区大崎3-12-22,35.6190862,139.7248065
第三日野小学校,東京都品川区上大崎1-19-19,品川区上大崎1-19-19,35.6326808,139.7242124
第四日野小学校,東京都品川区西五反田4-29-9,品川区西五反田4-29-9,35.6256563,139.7125064
大井第一小学校,東京都品川区大井6-1-32,品川区大井6-1-32,35.5985369,139.7312848
鮫浜小学校,東京都品川区東大井2-10-14,品川区東大井2-10-14,35.6014717,139.7406887
山中小学校,東京都品川区大井3-7-19,品川区大井3-7-19,35.6030627,139.7300265
立会小学校,東京都品川区東大井4-15-9,品川区東大井4-15-9,35.6044620,139.7398886
浜川小学校,東京都品川区南大井4-3-27,"品川区南大井4-3-27 浜川幼稚園併設",35.5982320,139.7358644
伊藤小学校,東京都品川区西大井5-6-8,"品川区西大井5-6-8 伊藤幼稚園併設",35.5986710,139.7170305
鈴ヶ森小学校,東京都品川区南大井4-16-2,品川区南大井4-16-2,35.5942592,139.7352088
台場小学校,東京都品川区東品川1-8-30,"品川区東品川1-8-30 台場幼稚園併設",35.6210266,139.7437964
京陽小学校,東京都品川区平塚2-19-20,品川区平塚2-19-20,35.6149950,139.7131309
延山小学校,東京都品川区西中延2-17-5,品川区西中延2-17-5,35.6090273,139.7081212
中延小学校,東京都品川区中延1-11-15,品川区中延1-11-15,35.6125373,139.7094080
小山小学校,東京都品川区小山5-10-6,品川区小山5-10-6,35.6161726,139.7031277
大原小学校,東京都品川区戸越6-17-3,品川区戸越6-17-3,35.6071632,139.7161396
宮前小学校,東京都品川区戸越4-5-10,品川区戸越4-5-10,35.6121020,139.7187181
源氏前小学校,東京都品川区中延6-2-18,品川区中延6-2-18,35.6032512,139.7117335
第二延山小学校,東京都品川区旗の台1-6-1,品川区旗の台1-6-1,35.6100280,139.7034064
後地小学校,東京都品川区小山2-4-6,品川区小山2-4-6,35.6215871,139.7085330
戸越小学校,東京都品川区豊町2-1-20,品川区豊町2-1-20,35.6111156,139.7213296
旗台小学校,東京都品川区旗の台4-7-11,品川区旗の台4-7-11,35.6033361,139.7041631
上神明小学校,東京都品川区二葉4-4-10,品川区二葉4-4-10,35.6029975,139.7152969
清水台小学校,東京都品川区旗の台1-11-17,品川区旗の台1-11-17,35.6073938,139.7026372
小山台小学校,東京都品川区小山台1-18-24,品川区小山台1-18-24,35.6228576,139.7032153
私立明晴学園,東京都品川区八潮5-2-1,"品川区八潮5-2-1電話:6380-6775",35.6040863,139.7533188
八潮学園,東京都品川区八潮5-9-11,"品川区八潮5-11-2電話　3799-1641小中一貫校「八潮学園」 八潮小学校と八潮中学校を併設",35.6010569,139.7514686
東海中学校,東京都品川区東品川3-30-15,品川区東品川3-30-15,35.6124592,139.7492204
大崎中学校,東京都品川区西品川3-10-6,品川区西品川3-10-6,35.6155350,139.7227275
浜川中学校,東京都品川区東大井3-18-34,品川区東大井3-18-34,35.6002177,139.7382919
伊藤学園,東京都品川区大井5-1-37,"品川区大井5-1-37電話　3771-3374小中一貫校「伊藤学園」 原小学校と伊藤中学校併設",35.6000568,139.7262013
鈴ヶ森中学校,東京都品川区南大井2-3-14,品川区南大井2-3-14,35.5928575,139.7378643
冨士見台中学校,東京都品川区西大井5-5-14,品川区西大井5-5-14,35.5982989,139.7154348
荏原第一中学校,東京都品川区荏原1-24-30,品川区荏原1-24-30,35.6194505,139.7128405
荏原第五中学校,東京都品川区旗の台5-11-13,品川区旗の台5-11-13,35.6033054,139.7019616
荏原第六中学校,東京都品川区小山5-20-19,品川区小山5-20-19,35.6164310,139.6999380
戸越台中学校,東京都品川区戸越1-15-23,"品川区戸越1-15-23 併設戸越台特別養護老人ホーム戸越台在宅介護支援センター戸越台在宅サービスセンター",35.6155270,139.7176744
小野学園女子中学校,東京都品川区西大井1-6-13,品川区西大井1-6-13,35.6020717,139.7266527
攻玉社中学校,東京都品川区西五反田5-14-2,品川区西五反田5-14-2,35.6245611,139.7137118
香蘭女学校中学校,東京都品川区旗の台6-22-21,品川区旗の台6-22-21,35.6068762,139.7014633
品川女子学院中等部,東京都品川区北品川3-3-12,品川女子学院,35.6209603,139.7392976
青稜中学校,東京都品川区二葉1-6-6,品川区二葉1-6-6,35.6088748,139.7280635
文教大学付属中学校,東京都品川区旗の台3-2-17,品川区旗の台3-2-17,35.6056763,139.7063680
小野学園女子,東京都品川区西大井1-6-13,品川区西大井1-6-13,35.6021746,139.7267649
攻玉社高校,東京都品川区西五反田5-14-2,品川区西五反田5-14-2,35.6244536,139.7135723
香蘭女学校,東京都品川区旗の台6-22-21,品川区旗の台6-22-21,35.6069657,139.7016000
品川女子学院高等部,東京都品川区北品川3-3-12,品川区北品川3-3-12,35.6208888,139.7393826
青稜高等学校,東京都品川区二葉1-6-6,品川区二葉1-6-6,35.6089285,139.7281921
朋優学院高等学校,東京都品川区西大井6-1-23,品川区西大井6-1-23,35.6005395,139.7145372
日本音楽高等学校,東京都品川区豊町2-16-12,品川区豊町2-16-12,35.6101948,139.7252836
文教大学付属高等学校,東京都品川区旗の台3-2-17,品川区旗の台3-2-17,35.6056183,139.7065077
品川エトワール女子,東京都品川区南品川5-12-4,品川区南品川5-12-4,35.6086771,139.7406486
攻玉社工科短期大学,東京都品川区西五反田5-14-2,品川区西五反田5-14-2,35.6243554,139.7137121
杉野服飾大学,東京都品川区上大崎4-6-19,品川区上大崎4-6-19,35.6316214,139.7158734
星薬科大学,東京都品川区荏原2-4-41,品川区荏原2-4-41,35.6193160,139.7113764
清泉女子大学,東京都品川区東五反田3-16-21,品川区東五反田3-16-21,35.6272085,139.7284441
昭和大学,東京都品川区旗の台1-5-8,品川区旗の台1-5-8,35.6085581,139.7035225
城南幼稚園,東京都品川区南品川2-8-21,"品川区南品川2-8-21 併設城南小学校",35.6133692,139.7427552
平塚幼稚園,東京都品川区荏原4-5-22,"品川区荏原4-5-22 併設:荏原西第二保育園(あわせて平塚すこやか園)",35.6158881,139.7078361
浜川幼稚園,東京都品川区南大井4-3-14,"品川区南大井4-3-14 併設浜川小学校",35.5977020,139.7361640
北品川第二保育園,東京都品川区北品川3-7-43,電話：03-5781-3881,35.6180915,139.7391006
伊藤幼稚園,東京都品川区西大井5-22-8,"品川区西大井5-22-8併設伊藤小学校",35.5980921,139.7169673
第一日野幼稚園・西五反田第二保育園,東京都品川区西五反田6-6-6,"品川区西五反田6-5-6 　併設第一日野小学校西五反田第二保育園",35.6223713,139.7164903
台場幼稚園・台場保育園,東京都品川区東品川1-8-30,"品川区東品川1-8-30 併設台場保育園・台場幼稚園",35.6213485,139.7437159
二葉幼稚園・二葉つぼみ保育園,東京都品川区二葉1-3-24,"品川区二葉1-3-40 併設:二葉つぼみ保育園(あわせて二葉すこやか園)",35.6063850,139.7256197
八潮わかば幼稚園,東京都品川区八潮5-6-32,品川区八潮5-6-32,35.5965468,139.7497629
日本高等洋裁学院,東京都品川区西大井1-6-13,品川区西大井1-6-13,35.6025545,139.7262964
池見東京歯科衛生士専門学校,東京都品川区東大井3-5-6,品川区東大井3-5-6,35.6032517,139.7391826
池見東京医療専門学校,東京都品川区東大井4-12-10,品川区東大井4-12-10,35.6056689,139.7389973
荏原医師会立看護高等専修学校,東京都品川区中延1-7-12,品川区中延1-7-12,35.6117467,139.7124623
グリーン外語専門学校,東京都品川区西五反田2-24-11,品川区西五反田2-24-11,35.6259245,139.7192728
攻玉社専門学校,東京都品川区西五反田5-14-2,品川区西五反田5-14-2,35.6244629,139.7138571
品川ファッションビジネス専門学校,東京都品川区中延5-15-9,品川区中延5-15-9,35.6011815,139.7097994
昭和大学医学部附属看護専門学校,東京都品川区旗の台1-5-8,品川区旗の台1-5-8,35.6086714,139.7035962
新東京歯科衛生士学校,東京都品川区南大井4-20-2,品川区南大井4-20-2,35.5928794,139.7358071
新東京歯科技工士学校,東京都品川区南大井4-20-2,品川区南大井4-20-2,35.5929823,139.7358589
東京健康科学専門学校,東京都品川区南品川6-10-5,品川区南品川6-10-5,35.6097767,139.7362570
東京工科専門学校品川校,東京都品川区南品川3-7-12,品川区南品川3-7-12,35.6069344,139.7448059
東京歯科技工専門学校,東京都品川区西五反田5-1-10,品川区西五反田5-1-10,35.6259574,139.7152128
東京聖星社会福祉専門学校,東京都品川区豊町2-16-12,品川区豊町2-16-12,35.6101723,139.7251605
東京マックス美容専門学校,東京都品川区大井1-48-11,品川区大井1-48-11,35.6054187,139.7329976
ドレスメーカー学院,東京都品川区上大崎4-6-19,品川区上大崎4-6-19,35.6315141,139.7159311
日本音楽学校,東京都品川区豊町2-16-12,品川区豊町2-16-12,35.6101633,139.7250318
宮川文化服装専門学校,東京都品川区大崎4-5-20,品川区大崎4-5-20,35.6201497,139.7225267
大崎高等学校,東京都品川区豊町2-1-7,品川区豊町2-1-7,35.6097103,139.7211044
小山台高等学校,東京都品川区小山3-3-32,品川区小山3-3-32,35.6212622,139.7035215
八潮高等学校,東京都品川区東品川3-27-22,品川区東品川3-27-22,35.6117053,139.7462932
都立産業技術高等専門学校,東京都品川区東大井1-10-40,品川区東大井1-10-40,35.6057885,139.7479522
都立品川特別支援学校,東京都品川区南品川6-15-20,品川区南品川6-15-20,35.6095224,139.7379342
立正大学,東京都品川区大崎4-2-16,,35.6204810,139.7236989
あけぼの幼稚園,東京都品川区大井5丁目10-12,品川区大井5丁目10-12,35.5982939,139.7304922
アライアンス幼稚園,東京都品川区小山4丁目4-13,品川区小山4丁目4-13,35.6182539,139.7039279
荏原学園旭幼稚園,東京都品川区中延5丁目6-18,品川区中延5丁目6-18,35.6031168,139.7082701
エトワール幼稚園,東京都品川区南品川5丁目12-4,品川区南品川5丁目12-4,35.6084361,139.7401278
大井うさぎ幼稚園,東京都品川区大井7丁目1-5,品川区大井7丁目1-5,35.5974138,139.7254528
大崎幼稚園,東京都品川区大崎3丁目11-1,品川区大崎3丁目11-1,35.6193824,139.7235612
亀田幼稚園,東京都品川区中延6丁目1-3,品川区中延6丁目1-3,35.6040057,139.7102707
品川教会附属幼稚園,東京都品川区北品川4丁目7-40,品川区北品川4丁目7-40,35.6226554,139.7371869
鈴ヶ森めばえ幼稚園,東京都品川区南大井2丁目4-1,品川区南大井2丁目4-1,35.5933068,139.7368490
専修幼稚園,東京都品川区西五反田6丁目11-5,品川区西五反田6丁目11-5,35.6208410,139.7177636
洗足うさぎ幼稚園,東京都品川区荏原7丁目18-15,品川区荏原7丁目18-15,35.6098117,139.6987106
戸越幼稚園,東京都品川区戸越1丁目21-15,品川区戸越1丁目21-15,35.6149547,139.7213205
帝京にしき幼稚園,東京都品川区旗の台6丁目5-30,品川区旗の台6丁目5-30,35.6086499,139.7005555
日本音楽学校付属幼稚園,東京都品川区豊町2丁目16-12,品川区豊町2丁目16-12,35.6099424,139.7253723
ひまわり幼稚園,東京都品川区小山6丁目10-11,,35.6136235,139.6978825
文教大学附属幼稚園,東京都品川区旗の台3丁目2-17,品川区旗の台3丁目2-17,35.6051805,139.7060472
八潮幼稚園,東京都品川区東品川3丁目24-8,品川区東品川3丁目24-8,35.6123249,139.7458315
日野学園,東京都品川区東五反田2-11-1,"品川区東五反田2-11-1電話　3441-3209小中一貫校「日野学園」第二日野小学校と日野中学校併設",35.6245725,139.7282104
日本書道専門学校,東京都品川区上大崎2-19-6,,35.6368467,139.7146446
品川児童学園子ども発達相談室,東京都品川区南品川3-7-7,"東京都品川区南品川3-7-7電話　5796-6347",35.6073182,139.7450534
マイスクール八潮,東京都品川区八潮5-2-1,"東京都品川区八潮5-2-1電話　3799-1221",35.6040909,139.7534392
第一日野小学校,東京都品川区西五反田6-5-32,品川区西五反田6-5-32,35.6223866,139.7162216
教育センター,東京都品川区西五反田6-5-1,,35.6225179,139.7166197
西五反田第二保育園,東京都品川区西五反田6-5-6,"品川区西五反田6-5-6 電話:3493-7288最寄り駅 東急池上線　大崎広小路駅",35.6223588,139.7167412
